Label (Grouping),"Carroll County, Maryland"
Total:,"172,891"
    Population of one race:,"162,291"
        White alone,"148,621"
        Black or African American alone,"6,482"
        American Indian and Alaska Native alone,396
        Asian alone,"3,775"
        Native Hawaiian and Other Pacific Islander alone,43
        Some Other Race alone,"2,974"
    Population of two or more races:,"10,600"
        Population of two races:,"9,989"
            White; Black or African American,"1,612"
            White; American Indian and Alaska Native,"2,477"
            White; Asian,"1,576"
            White; Native Hawaiian and Other Pacific Islander,71
            White; Some Other Race,"3,909"
            Black or African American; American Indian and Alaska Native,69
            Black or African American; Asian,55
            Black or African American; Native Hawaiian and Other Pacific Islander,5
            Black or African American; Some Other Race,131
            American Indian and Alaska Native; Asian,19
            American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander,0
            American Indian and Alaska Native; Some Other Race,25
            Asian; Native Hawaiian and Other Pacific Islander,17
            Asian; Some Other Race,23
            Native Hawaiian and Other Pacific Islander; Some Other Race,0
        Population of three races:,544
            White; Black or African American; American Indian and Alaska Native,150
            White; Black or African American; Asian,72
            White; Black or African American; Native Hawaiian and Other Pacific Islander,0
            White; Black or African American; Some Other Race,60
            White; American Indian and Alaska Native; Asian,54
            White; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander,2
            White; American Indian and Alaska Native; Some Other Race,94
            White; Asian; Native Hawaiian and Other Pacific Islander,38
            White; Asian; Some Other Race,38
            White; Native Hawaiian and Other Pacific Islander; Some Other Race,13
            Black or African American; American Indian and Alaska Native; Asian,3
            Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander,0
            Black or African American; American Indian and Alaska Native; Some Other Race,4
            Black or African American; Asian; Native Hawaiian and Other Pacific Islander,7
            Black or African American; Asian; Some Other Race,4
            Black or African American; Native Hawaiian and Other Pacific Islander; Some Other Race,3
            American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander,0
            American Indian and Alaska Native; Asian; Some Other Race,2
            American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race,0
            Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,0
        Population of four races:,57
            White; Black or African American; American Indian and Alaska Native; Asian,19
            White; Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander,6
            White; Black or African American; American Indian and Alaska Native; Some Other Race,8
            White; Black or African American; Asian; Native Hawaiian and Other Pacific Islander,0
            White; Black or African American; Asian; Some Other Race,6
            White; Black or African American; Native Hawaiian and Other Pacific Islander; Some Other Race,8
            White; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander,8
            White; American Indian and Alaska Native; Asian; Some Other Race,0
            White; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race,0
            White; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,0
            Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander,0
            Black or African American; American Indian and Alaska Native; Asian; Some Other Race,0
            Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race,0
            Black or African American; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,2
            American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,0
        Population of five races:,8
            White; Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander,1
            White; Black or African American; American Indian and Alaska Native; Asian; Some Other Race,6
            White; Black or African American; American Indian and Alaska Native; Native Hawaiian and Other Pacific Islander; Some Other Race,0
            White; Black or African American; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,0
            White; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,1
            Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,0
        Population of six races:,2
            White; Black or African American; American Indian and Alaska Native; Asian; Native Hawaiian and Other Pacific Islander; Some Other Race,2
